[ 2017-03-19T00:26:11+08:00 ] /QA/index.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2017-03-19T00:26:11+08:00 ] /QA/index.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.001634s ]
[ 2017-03-19T00:26:11+08:00 ] /QA/index.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001726s ]
[ 2017-03-19T00:26:11+08:00 ] /QA/index.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2017-03-19T00:26:11+08:00 ] /QA/index.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001180s ]
[ 2017-03-19T00:26:11+08:00 ] /QA/index.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001252s ]
[ 2017-03-19T00:26:11+08:00 ] /QA/index.php/Index/index | SQL: SHOW COLUMNS FROM `wl_category` [ RunTime:0.007640s ]
[ 2017-03-19T00:26:11+08:00 ] /QA/index.php/Index/index | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = 0 )  [ RunTime:0.000531s ]
[ 2017-03-19T00:26:11+08:00 ] /QA/index.php/Index/index | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '1' )  [ RunTime:0.000393s ]
[ 2017-03-19T00:26:11+08:00 ] /QA/index.php/Index/index | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '2' )  [ RunTime:0.000417s ]
[ 2017-03-19T00:26:11+08:00 ] /QA/index.php/Index/index | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '3' )  [ RunTime:0.000290s ]
[ 2017-03-19T00:26:11+08:00 ] /QA/index.php/Index/index | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '4' )  [ RunTime:0.000369s ]
[ 2017-03-19T00:26:11+08:00 ] /QA/index.php/Index/index | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '5' )  [ RunTime:0.000328s ]
[ 2017-03-19T00:26:11+08:00 ] /QA/index.php/Index/index | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.008179s ]
[ 2017-03-19T00:26:11+08:00 ] /QA/index.php/Index/index | SQL: SELECT * FROM `wl_question` WHERE ( `solve` = 0 ) ORDER BY ask_time DESC LIMIT 5   [ RunTime:0.000739s ]
[ 2017-03-19T00:26:11+08:00 ] /QA/index.php/Index/index | SQL: SELECT * FROM `wl_question` WHERE ( `solve` = 1 ) LIMIT 5   [ RunTime:0.000472s ]
[ 2017-03-19T00:26:11+08:00 ] /QA/index.php/Index/index | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.007309s ]
[ 2017-03-19T00:26:11+08:00 ] /QA/index.php/Index/index | SQL: SELECT `experience`,`money` FROM `wl_index_user` WHERE ( `id` = '1' ) LIMIT 1   [ RunTime:0.000546s ]
[ 2017-03-19T00:26:11+08:00 ] /QA/index.php/Index/index | SQL: SELECT * FROM `wl_index_user` ORDER BY adopt DESC LIMIT 10   [ RunTime:0.000588s ]
[ 2017-03-19T00:26:11+08:00 ] /QA/index.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2017-03-19T00:26:11+08:00 ] /QA/index.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001667s ]
[ 2017-03-19T00:26:11+08:00 ] /QA/index.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001730s ]
[ 2017-03-19T00:26:11+08:00 ] /QA/index.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2017-03-19T00:26:11+08:00 ] /QA/index.php/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.028074s ]
[ 2017-03-19T00:26:11+08:00 ] /QA/index.php/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.028146s ]
[ 2017-03-19T00:26:11+08:00 ] /QA/index.php/Index/index | INFO: Tag[ view_filter ] --START--
[ 2017-03-19T00:26:11+08:00 ] /QA/index.php/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.001135s ]
[ 2017-03-19T00:26:11+08:00 ] /QA/index.php/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.000834s ]
[ 2017-03-19T00:26:11+08:00 ] /QA/index.php/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000636s ]
[ 2017-03-19T00:26:11+08:00 ] /QA/index.php/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000974s ]
[ 2017-03-19T00:26:11+08:00 ] /QA/index.php/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003739s ]
[ 2017-03-19T00:26:11+08:00 ] /QA/index.php/Index/index | INFO: Tag[ view_end ] --START--
[ 2017-03-19T00:26:11+08:00 ] /QA/index.php/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.002670s ]
[ 2017-03-19T00:26:11+08:00 ] /QA/index.php/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.002758s ]
[ 2017-03-19T00:28:51+08:00 ] /QA/index.php/Ask/index | INFO: Tag[ route_check ] --START--
[ 2017-03-19T00:28:51+08:00 ] /QA/index.php/Ask/index | INFO: Run CheckRoute Behavior [ RunTime:0.001975s ]
[ 2017-03-19T00:28:51+08:00 ] /QA/index.php/Ask/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002084s ]
[ 2017-03-19T00:28:51+08:00 ] /QA/index.php/Ask/index | INFO: Tag[ app_begin ] --START--
