[ 2017-03-15T23:47:44+08:00 ] /QA/ | INFO: Tag[ app_begin ] --START--
[ 2017-03-15T23:47:44+08:00 ] /QA/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001486s ]
[ 2017-03-15T23:47:44+08:00 ] /QA/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003040s ]
[ 2017-03-15T23:47:44+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_category` [ RunTime:0.008463s ]
[ 2017-03-15T23:47:44+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = 0 )  [ RunTime:0.000692s ]
[ 2017-03-15T23:47:44+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '1' )  [ RunTime:0.000805s ]
[ 2017-03-15T23:47:44+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '2' )  [ RunTime:0.000561s ]
[ 2017-03-15T23:47:44+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '3' )  [ RunTime:0.000375s ]
[ 2017-03-15T23:47:44+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '4' )  [ RunTime:0.000459s ]
[ 2017-03-15T23:47:44+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '5' )  [ RunTime:0.000527s ]
[ 2017-03-15T23:47:44+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.008263s ]
[ 2017-03-15T23:47:44+08:00 ] /QA/ | SQL: SELECT * FROM `wl_question` WHERE ( `solve` = 0 ) ORDER BY ask_time DESC LIMIT 5   [ RunTime:0.000663s ]
[ 2017-03-15T23:47:44+08:00 ] /QA/ | SQL: SELECT * FROM `wl_question` WHERE ( `solve` = 1 ) LIMIT 5   [ RunTime:0.000473s ]
[ 2017-03-15T23:47:44+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.007767s ]
[ 2017-03-15T23:47:44+08:00 ] /QA/ | NOTIC: [8] Undefined index: uid IndexAction.class.php 第 23 行.
[ 2017-03-15T23:47:44+08:00 ] /QA/ | SQL: SELECT `experience`,`money` FROM `wl_index_user` WHERE ( `id` = null ) LIMIT 1   [ RunTime:0.000422s ]
[ 2017-03-15T23:47:44+08:00 ] /QA/ | SQL: SELECT * FROM `wl_index_user` ORDER BY adopt DESC LIMIT 10   [ RunTime:0.000512s ]
[ 2017-03-15T23:47:44+08:00 ] /QA/ | INFO: Tag[ view_template ] --START--
[ 2017-03-15T23:47:44+08:00 ] /QA/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001814s ]
[ 2017-03-15T23:47:44+08:00 ] /QA/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001877s ]
[ 2017-03-15T23:47:44+08:00 ] /QA/ | INFO: Tag[ view_parse ] --START--
[ 2017-03-15T23:47:44+08:00 ] /QA/ | INFO: Run ParseTemplate Behavior [ RunTime:0.035716s ]
[ 2017-03-15T23:47:44+08:00 ] /QA/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.035793s ]
[ 2017-03-15T23:47:44+08:00 ] /QA/ | INFO: Tag[ view_filter ] --START--
[ 2017-03-15T23:47:44+08:00 ] /QA/ | INFO: Run ContentReplace Behavior [ RunTime:0.001538s ]
[ 2017-03-15T23:47:44+08:00 ] /QA/ | INFO: Run TokenBuild Behavior [ RunTime:0.001051s ]
[ 2017-03-15T23:47:44+08:00 ] /QA/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001066s ]
[ 2017-03-15T23:47:44+08:00 ] /QA/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001360s ]
[ 2017-03-15T23:47:44+08:00 ] /QA/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005255s ]
[ 2017-03-15T23:47:44+08:00 ] /QA/ | INFO: Tag[ view_end ] --START--
[ 2017-03-15T23:47:44+08:00 ] /QA/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.002453s ]
[ 2017-03-15T23:47:44+08:00 ] /QA/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.002548s ]
[ 2017-03-15T23:47:55+08:00 ] /QA/index.php/Member/index/id/2 | INFO: Tag[ route_check ] --START--
[ 2017-03-15T23:47:55+08:00 ] /QA/index.php/Member/index/id/2 | INFO: Run CheckRoute Behavior [ RunTime:0.001590s ]
[ 2017-03-15T23:47:55+08:00 ] /QA/index.php/Member/index/id/2 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001670s ]
[ 2017-03-15T23:47:55+08:00 ] /QA/index.php/Member/index/id/2 | INFO: Tag[ app_begin ] --START--
[ 2017-03-15T23:47:55+08:00 ] /QA/index.php/Member/index/id/2 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001085s ]
[ 2017-03-15T23:47:55+08:00 ] /QA/index.php/Member/index/id/2 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001145s ]
[ 2017-03-15T23:47:55+08:00 ] /QA/index.php/Member/index/id/2 | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.008179s ]
[ 2017-03-15T23:47:55+08:00 ] /QA/index.php/Member/index/id/2 | SQL: SELECT `id`,`username`,`money`,`experience`,`adopt`,`answer`,`ask` FROM `wl_index_user` WHERE ( `id` = 2 ) LIMIT 1   [ RunTime:0.000516s ]
[ 2017-03-15T23:47:55+08:00 ] /QA/index.php/Member/index/id/2 | INFO: Tag[ view_template ] --START--
[ 2017-03-15T23:47:55+08:00 ] /QA/index.php/Member/index/id/2 | INFO: Run LocationTemplate Behavior [ RunTime:0.002144s ]
[ 2017-03-15T23:47:55+08:00 ] /QA/index.php/Member/index/id/2 | INFO: Tag[ view_template ] --END-- [ RunTime:0.002225s ]
[ 2017-03-15T23:47:55+08:00 ] /QA/index.php/Member/index/id/2 | INFO: Tag[ view_parse ] --START--
[ 2017-03-15T23:47:55+08:00 ] /QA/index.php/Member/index/id/2 | INFO: Run ParseTemplate Behavior [ RunTime:0.015778s ]
[ 2017-03-15T23:47:55+08:00 ] /QA/index.php/Member/index/id/2 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015853s ]
[ 2017-03-15T23:47:55+08:00 ] /QA/index.php/Member/index/id/2 | INFO: Tag[ view_filter ] --START--
[ 2017-03-15T23:47:55+08:00 ] /QA/index.php/Member/index/id/2 | INFO: Run ContentReplace Behavior [ RunTime:0.001279s ]
[ 2017-03-15T23:47:55+08:00 ] /QA/index.php/Member/index/id/2 | INFO: Run TokenBuild Behavior [ RunTime:0.001012s ]
[ 2017-03-15T23:47:55+08:00 ] /QA/index.php/Member/index/id/2 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000875s ]
[ 2017-03-15T23:47:55+08:00 ] /QA/index.php/Member/index/id/2 | INFO: Run ShowRuntime Behavior [ RunTime:0.001072s ]
[ 2017-03-15T23:47:55+08:00 ] /QA/index.php/Member/index/id/2 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004418s ]
[ 2017-03-15T23:47:55+08:00 ] /QA/index.php/Member/index/id/2 | INFO: Tag[ view_end ] --START--
[ 2017-03-15T23:47:55+08:00 ] /QA/index.php/Member/index/id/2 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001109s ]
[ 2017-03-15T23:47:55+08:00 ] /QA/index.php/Member/index/id/2 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001180s ]
