[ 2016-06-19T12:57:55+08:00 ] /QA/ | INFO: Tag[ app_begin ] --START--
[ 2016-06-19T12:57:55+08:00 ] /QA/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-06-19T12:57:55+08:00 ] /QA/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2016-06-19T12:57:56+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_category` [ RunTime:0.060000s ]
[ 2016-06-19T12:57:56+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = 0 )  [ RunTime:0.000000s ]
[ 2016-06-19T12:57:56+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '1' )  [ RunTime:0.000000s ]
[ 2016-06-19T12:57:56+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '2' )  [ RunTime:0.000000s ]
[ 2016-06-19T12:57:56+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '3' )  [ RunTime:0.010000s ]
[ 2016-06-19T12:57:56+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '4' )  [ RunTime:0.000000s ]
[ 2016-06-19T12:57:56+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '5' )  [ RunTime:0.000000s ]
[ 2016-06-19T12:57:56+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.050000s ]
[ 2016-06-19T12:57:56+08:00 ] /QA/ | SQL: SELECT * FROM `wl_question` WHERE ( `solve` = 0 ) LIMIT 15   [ RunTime:0.000000s ]
[ 2016-06-19T12:57:56+08:00 ] /QA/ | INFO: Tag[ view_template ] --START--
[ 2016-06-19T12:57:56+08:00 ] /QA/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2016-06-19T12:57:56+08:00 ] /QA/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2016-06-19T12:57:56+08:00 ] /QA/ | INFO: Tag[ view_parse ] --START--
[ 2016-06-19T12:57:56+08:00 ] /QA/ | INFO: Run ParseTemplate Behavior [ RunTime:0.030000s ]
[ 2016-06-19T12:57:56+08:00 ] /QA/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.030000s ]
[ 2016-06-19T12:57:56+08:00 ] /QA/ | INFO: Tag[ view_filter ] --START--
[ 2016-06-19T12:57:56+08:00 ] /QA/ | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2016-06-19T12:57:56+08:00 ] /QA/ | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2016-06-19T12:57:56+08:00 ] /QA/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-06-19T12:57:56+08:00 ] /QA/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2016-06-19T12:57:56+08:00 ] /QA/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.010000s ]
