[ 2016-06-26T11:49:41+08:00 ] /QA/ | INFO: Tag[ app_begin ] --START--
[ 2016-06-26T11:49:41+08:00 ] /QA/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.536031s ]
[ 2016-06-26T11:49:41+08:00 ] /QA/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.655038s ]
[ 2016-06-26T11:49:45+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_category` [ RunTime:0.338020s ]
[ 2016-06-26T11:49:45+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = 0 )  [ RunTime:0.058003s ]
[ 2016-06-26T11:49:45+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '1' )  [ RunTime:0.001000s ]
[ 2016-06-26T11:49:45+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '2' )  [ RunTime:0.000000s ]
[ 2016-06-26T11:49:45+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '3' )  [ RunTime:0.000000s ]
[ 2016-06-26T11:49:45+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '4' )  [ RunTime:0.000000s ]
[ 2016-06-26T11:49:45+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '5' )  [ RunTime:0.000000s ]
[ 2016-06-26T11:49:45+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.748043s ]
[ 2016-06-26T11:49:45+08:00 ] /QA/ | SQL: SELECT * FROM `wl_question` WHERE ( `solve` = 0 ) LIMIT 15   [ RunTime:0.077005s ]
[ 2016-06-26T11:49:46+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.125007s ]
[ 2016-06-26T11:49:46+08:00 ] /QA/ | SQL: SELECT * FROM `wl_index_user` ORDER BY adopt LIMIT 10   [ RunTime:0.009000s ]
[ 2016-06-26T11:49:46+08:00 ] /QA/ | INFO: Tag[ view_template ] --START--
[ 2016-06-26T11:49:46+08:00 ] /QA/ | INFO: Run LocationTemplate Behavior [ RunTime:0.096006s ]
[ 2016-06-26T11:49:46+08:00 ] /QA/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.097006s ]
[ 2016-06-26T11:49:46+08:00 ] /QA/ | INFO: Tag[ view_parse ] --START--
[ 2016-06-26T11:49:46+08:00 ] /QA/ | INFO: Run ParseTemplate Behavior [ RunTime:0.657037s ]
[ 2016-06-26T11:49:46+08:00 ] /QA/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.657037s ]
[ 2016-06-26T11:49:46+08:00 ] /QA/ | INFO: Tag[ view_filter ] --START--
[ 2016-06-26T11:49:46+08:00 ] /QA/ | INFO: Run ContentReplace Behavior [ RunTime:0.073004s ]
[ 2016-06-26T11:49:47+08:00 ] /QA/ | INFO: Run TokenBuild Behavior [ RunTime:0.345019s ]
[ 2016-06-26T11:49:47+08:00 ] /QA/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.077005s ]
[ 2016-06-26T11:49:47+08:00 ] /QA/ | INFO: Run ShowRuntime Behavior [ RunTime:0.078004s ]
[ 2016-06-26T11:49:47+08:00 ] /QA/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.574033s ]
[ 2016-06-26T11:49:47+08:00 ] /QA/ | INFO: Tag[ view_end ] --START--
[ 2016-06-26T11:49:47+08:00 ] /QA/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.312018s ]
[ 2016-06-26T11:49:47+08:00 ] /QA/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.312018s ]
[ 2016-06-26T13:59:02+08:00 ] /QA/ | INFO: Tag[ app_begin ] --START--
[ 2016-06-26T13:59:02+08:00 ] /QA/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-06-26T13:59:02+08:00 ] /QA/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-06-26T13:59:03+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_category` [ RunTime:0.011001s ]
[ 2016-06-26T13:59:03+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = 0 )  [ RunTime:0.001000s ]
[ 2016-06-26T13:59:03+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '1' )  [ RunTime:0.001000s ]
[ 2016-06-26T13:59:03+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '2' )  [ RunTime:0.001000s ]
[ 2016-06-26T13:59:03+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '3' )  [ RunTime:0.000000s ]
[ 2016-06-26T13:59:03+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '4' )  [ RunTime:0.001000s ]
[ 2016-06-26T13:59:03+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '5' )  [ RunTime:0.000000s ]
[ 2016-06-26T13:59:03+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.011000s ]
[ 2016-06-26T13:59:03+08:00 ] /QA/ | SQL: SELECT * FROM `wl_question` WHERE ( `solve` = 0 ) LIMIT 15   [ RunTime:0.001000s ]
[ 2016-06-26T13:59:03+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.011001s ]
[ 2016-06-26T13:59:03+08:00 ] /QA/ | SQL: SELECT * FROM `wl_index_user` ORDER BY adopt LIMIT 10   [ RunTime:0.001000s ]
[ 2016-06-26T13:59:03+08:00 ] /QA/ | INFO: Tag[ view_template ] --START--
[ 2016-06-26T13:59:03+08:00 ] /QA/ | INFO: Run LocationTemplate Behavior [ RunTime:0.003000s ]
[ 2016-06-26T13:59:03+08:00 ] /QA/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.003000s ]
[ 2016-06-26T13:59:03+08:00 ] /QA/ | INFO: Tag[ view_parse ] --START--
[ 2016-06-26T13:59:03+08:00 ] /QA/ | INFO: Run ParseTemplate Behavior [ RunTime:0.033002s ]
[ 2016-06-26T13:59:03+08:00 ] /QA/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.033002s ]
[ 2016-06-26T13:59:03+08:00 ] /QA/ | INFO: Tag[ view_filter ] --START--
[ 2016-06-26T13:59:03+08:00 ] /QA/ | INFO: Run ContentReplace Behavior [ RunTime:0.002000s ]
[ 2016-06-26T13:59:03+08:00 ] /QA/ | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-06-26T13:59:03+08:00 ] /QA/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-06-26T13:59:03+08:00 ] /QA/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-06-26T13:59:03+08:00 ] /QA/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005000s ]
[ 2016-06-26T13:59:03+08:00 ] /QA/ | INFO: Tag[ view_end ] --START--
[ 2016-06-26T13:59:03+08:00 ] /QA/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001001s ]
[ 2016-06-26T13:59:03+08:00 ] /QA/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001001s ]
[ 2016-06-26T18:51:07+08:00 ] /QA/ | INFO: Tag[ app_begin ] --START--
[ 2016-06-26T18:51:07+08:00 ] /QA/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-06-26T18:51:07+08:00 ] /QA/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-06-26T18:51:08+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_category` [ RunTime:0.010001s ]
[ 2016-06-26T18:51:08+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = 0 )  [ RunTime:0.001000s ]
[ 2016-06-26T18:51:08+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '1' )  [ RunTime:0.000000s ]
[ 2016-06-26T18:51:08+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '2' )  [ RunTime:0.001000s ]
[ 2016-06-26T18:51:08+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '3' )  [ RunTime:0.001000s ]
