[ 2016-07-23T10:30:09+08:00 ] /QA/ | INFO: Tag[ app_begin ] --START--
[ 2016-07-23T10:30:09+08:00 ] /QA/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.042003s ]
[ 2016-07-23T10:30:09+08:00 ] /QA/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.042003s ]
[ 2016-07-23T10:30:10+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_category` [ RunTime:0.074004s ]
[ 2016-07-23T10:30:10+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = 0 )  [ RunTime:0.016001s ]
[ 2016-07-23T10:30:10+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '1' )  [ RunTime:0.000000s ]
[ 2016-07-23T10:30:10+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '2' )  [ RunTime:0.001000s ]
[ 2016-07-23T10:30:10+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '3' )  [ RunTime:0.001000s ]
[ 2016-07-23T10:30:10+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '4' )  [ RunTime:0.000000s ]
[ 2016-07-23T10:30:10+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '5' )  [ RunTime:0.001000s ]
[ 2016-07-23T10:30:10+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.042002s ]
[ 2016-07-23T10:30:10+08:00 ] /QA/ | SQL: SELECT * FROM `wl_question` WHERE ( `solve` = 0 ) LIMIT 5   [ RunTime:0.001000s ]
[ 2016-07-23T10:30:10+08:00 ] /QA/ | SQL: SELECT * FROM `wl_question` WHERE ( `solve` = 1 ) LIMIT 5   [ RunTime:0.001000s ]
[ 2016-07-23T10:30:10+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.048003s ]
[ 2016-07-23T10:30:10+08:00 ] /QA/ | SQL: SELECT * FROM `wl_index_user` ORDER BY adopt LIMIT 10   [ RunTime:0.001000s ]
[ 2016-07-23T10:30:10+08:00 ] /QA/ | INFO: Tag[ view_template ] --START--
[ 2016-07-23T10:30:10+08:00 ] /QA/ | INFO: Run LocationTemplate Behavior [ RunTime:0.039002s ]
[ 2016-07-23T10:30:10+08:00 ] /QA/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.040002s ]
[ 2016-07-23T10:30:10+08:00 ] /QA/ | INFO: Tag[ view_parse ] --START--
[ 2016-07-23T10:30:10+08:00 ] /QA/ | INFO: Run ParseTemplate Behavior [ RunTime:0.273016s ]
[ 2016-07-23T10:30:10+08:00 ] /QA/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.273016s ]
[ 2016-07-23T10:30:10+08:00 ] /QA/ | INFO: Tag[ view_filter ] --START--
[ 2016-07-23T10:30:10+08:00 ] /QA/ | INFO: Run ContentReplace Behavior [ RunTime:0.025001s ]
[ 2016-07-23T10:30:10+08:00 ] /QA/ | INFO: Run TokenBuild Behavior [ RunTime:0.004001s ]
[ 2016-07-23T10:30:10+08:00 ] /QA/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.005000s ]
[ 2016-07-23T10:30:10+08:00 ] /QA/ | INFO: Run ShowRuntime Behavior [ RunTime:0.004000s ]
[ 2016-07-23T10:30:10+08:00 ] /QA/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.038002s ]
[ 2016-07-23T10:30:10+08:00 ] /QA/ | INFO: Tag[ view_end ] --START--
[ 2016-07-23T10:30:10+08:00 ] /QA/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.015001s ]
[ 2016-07-23T10:30:10+08:00 ] /QA/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.015001s ]
[ 2016-07-23T10:30:17+08:00 ] /QA/ | INFO: Tag[ app_begin ] --START--
[ 2016-07-23T10:30:17+08:00 ] /QA/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.005000s ]
[ 2016-07-23T10:30:17+08:00 ] /QA/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005000s ]
[ 2016-07-23T10:30:17+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_category` [ RunTime:0.014001s ]
[ 2016-07-23T10:30:17+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = 0 )  [ RunTime:0.001000s ]
[ 2016-07-23T10:30:17+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '1' )  [ RunTime:0.001000s ]
[ 2016-07-23T10:30:17+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '2' )  [ RunTime:0.000000s ]
[ 2016-07-23T10:30:17+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '3' )  [ RunTime:0.000000s ]
[ 2016-07-23T10:30:17+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '4' )  [ RunTime:0.000000s ]
[ 2016-07-23T10:30:17+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '5' )  [ RunTime:0.001000s ]
[ 2016-07-23T10:30:17+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.012001s ]
[ 2016-07-23T10:30:17+08:00 ] /QA/ | SQL: SELECT * FROM `wl_question` WHERE ( `solve` = 0 ) LIMIT 5   [ RunTime:0.001000s ]
[ 2016-07-23T10:30:17+08:00 ] /QA/ | SQL: SELECT * FROM `wl_question` WHERE ( `solve` = 1 ) LIMIT 5   [ RunTime:0.001000s ]
[ 2016-07-23T10:30:17+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.013000s ]
[ 2016-07-23T10:30:17+08:00 ] /QA/ | SQL: SELECT * FROM `wl_index_user` ORDER BY adopt LIMIT 10   [ RunTime:0.001001s ]
[ 2016-07-23T10:30:17+08:00 ] /QA/ | INFO: Tag[ view_template ] --START--
[ 2016-07-23T10:30:17+08:00 ] /QA/ | INFO: Run LocationTemplate Behavior [ RunTime:0.005000s ]
[ 2016-07-23T10:30:17+08:00 ] /QA/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.005000s ]
[ 2016-07-23T10:30:17+08:00 ] /QA/ | INFO: Tag[ view_parse ] --START--
[ 2016-07-23T10:30:17+08:00 ] /QA/ | INFO: Run ParseTemplate Behavior [ RunTime:0.043002s ]
[ 2016-07-23T10:30:17+08:00 ] /QA/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.043002s ]
[ 2016-07-23T10:30:17+08:00 ] /QA/ | INFO: Tag[ view_filter ] --START--
[ 2016-07-23T10:30:17+08:00 ] /QA/ | INFO: Run ContentReplace Behavior [ RunTime:0.004001s ]
[ 2016-07-23T10:30:17+08:00 ] /QA/ | INFO: Run TokenBuild Behavior [ RunTime:0.003000s ]
[ 2016-07-23T10:30:17+08:00 ] /QA/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.003000s ]
[ 2016-07-23T10:30:17+08:00 ] /QA/ | INFO: Run ShowRuntime Behavior [ RunTime:0.003000s ]
[ 2016-07-23T10:30:17+08:00 ] /QA/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.013001s ]
[ 2016-07-23T10:30:17+08:00 ] /QA/ | INFO: Tag[ view_end ] --START--
[ 2016-07-23T10:30:17+08:00 ] /QA/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.007000s ]
[ 2016-07-23T10:30:17+08:00 ] /QA/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.007000s ]
[ 2016-07-23T10:30:28+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ route_check ] --START--
[ 2016-07-23T10:30:28+08:00 ] /QA/index.php/Index/checkUsername | INFO: Run CheckRoute Behavior [ RunTime:0.045002s ]
[ 2016-07-23T10:30:28+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ route_check ] --END-- [ RunTime:0.045002s ]
[ 2016-07-23T10:30:28+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ app_begin ] --START--
[ 2016-07-23T10:30:28+08:00 ] /QA/index.php/Index/checkUsername | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002001s ]
[ 2016-07-23T10:30:28+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002001s ]
[ 2016-07-23T10:30:28+08:00 ] /QA/index.php/Index/checkUsername | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2016-07-23T10:30:28+08:00 ] /QA/index.php/Index/checkUsername | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.013001s ]
[ 2016-07-23T10:30:28+08:00 ] /QA/index.php/Index/checkUsername | SQL: SELECT `id` FROM `wl_index_user` WHERE ( `username` = '小呆' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2016-07-23T10:30:34+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ route_check ] --START--
[ 2016-07-23T10:30:34+08:00 ] /QA/index.php/Index/checkUsername | INFO: Run CheckRoute Behavior [ RunTime:0.005000s ]
[ 2016-07-23T10:30:34+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ route_check ] --END-- [ RunTime:0.005000s ]
[ 2016-07-23T10:30:34+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ app_begin ] --START--
[ 2016-07-23T10:30:34+08:00 ] /QA/index.php/Index/checkUsername | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002001s ]
[ 2016-07-23T10:30:34+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002001s ]
[ 2016-07-23T10:30:34+08:00 ] /QA/index.php/Index/checkUsername | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.013000s ]
[ 2016-07-23T10:30:34+08:00 ] /QA/index.php/Index/checkUsername | SQL: SELECT `id` FROM `wl_index_user` WHERE ( `username` = null ) LIMIT 1   [ RunTime:0.000000s ]
[ 2016-07-23T10:30:50+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ route_check ] --START--
[ 2016-07-23T10:30:50+08:00 ] /QA/index.php/Index/checkUsername | INFO: Run CheckRoute Behavior [ RunTime:0.004000s ]
[ 2016-07-23T10:30:50+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ route_check ] --END-- [ RunTime:0.005000s ]
[ 2016-07-23T10:30:50+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ app_begin ] --START--
[ 2016-07-23T10:30:50+08:00 ] /QA/index.php/Index/checkUsername | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004000s ]
[ 2016-07-23T10:30:50+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004000s ]
[ 2016-07-23T10:30:50+08:00 ] /QA/index.php/Index/checkUsername | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2016-07-23T10:30:50+08:00 ] /QA/index.php/Index/checkUsername | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.015001s ]
[ 2016-07-23T10:30:50+08:00 ] /QA/index.php/Index/checkUsername | SQL: SELECT `id` FROM `wl_index_user` WHERE ( `username` = '丸子' ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-07-23T10:30:58+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ route_check ] --START--
[ 2016-07-23T10:30:58+08:00 ] /QA/index.php/Index/checkUsername | INFO: Run CheckRoute Behavior [ RunTime:0.003000s ]
[ 2016-07-23T10:30:58+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ route_check ] --END-- [ RunTime:0.003000s ]
[ 2016-07-23T10:30:58+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ app_begin ] --START--
[ 2016-07-23T10:30:58+08:00 ] /QA/index.php/Index/checkUsername | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003000s ]
[ 2016-07-23T10:30:58+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003000s ]
[ 2016-07-23T10:30:58+08:00 ] /QA/index.php/Index/checkUsername | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2016-07-23T10:30:58+08:00 ] /QA/index.php/Index/checkUsername | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.016001s ]
[ 2016-07-23T10:30:58+08:00 ] /QA/index.php/Index/checkUsername | SQL: SELECT `id` FROM `wl_index_user` WHERE ( `username` = '小呆1' ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-07-23T10:31:01+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ route_check ] --START--
[ 2016-07-23T10:31:01+08:00 ] /QA/index.php/Index/checkUsername | INFO: Run CheckRoute Behavior [ RunTime:0.003000s ]
[ 2016-07-23T10:31:01+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ route_check ] --END-- [ RunTime:0.003000s ]
[ 2016-07-23T10:31:01+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ app_begin ] --START--
[ 2016-07-23T10:31:01+08:00 ] /QA/index.php/Index/checkUsername | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-07-23T10:31:01+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-07-23T10:31:01+08:00 ] /QA/index.php/Index/checkUsername | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2016-07-23T10:31:01+08:00 ] /QA/index.php/Index/checkUsername | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.015000s ]
[ 2016-07-23T10:31:01+08:00 ] /QA/index.php/Index/checkUsername | SQL: SELECT `id` FROM `wl_index_user` WHERE ( `username` = '小呆1' ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-07-23T10:31:06+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ route_check ] --START--
[ 2016-07-23T10:31:06+08:00 ] /QA/index.php/Index/checkUsername | INFO: Run CheckRoute Behavior [ RunTime:0.003000s ]
[ 2016-07-23T10:31:06+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ route_check ] --END-- [ RunTime:0.003000s ]
[ 2016-07-23T10:31:06+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ app_begin ] --START--
[ 2016-07-23T10:31:06+08:00 ] /QA/index.php/Index/checkUsername | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-07-23T10:31:06+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003000s ]
[ 2016-07-23T10:31:06+08:00 ] /QA/index.php/Index/checkUsername | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2016-07-23T10:31:06+08:00 ] /QA/index.php/Index/checkUsername | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.013001s ]
[ 2016-07-23T10:31:06+08:00 ] /QA/index.php/Index/checkUsername | SQL: SELECT `id` FROM `wl_index_user` WHERE ( `username` = '师姐' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2016-07-23T10:31:09+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ route_check ] --START--
[ 2016-07-23T10:31:09+08:00 ] /QA/index.php/Index/checkUsername | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-07-23T10:31:09+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-07-23T10:31:09+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ app_begin ] --START--
[ 2016-07-23T10:31:09+08:00 ] /QA/index.php/Index/checkUsername | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-07-23T10:31:09+08:00 ] /QA/index.php/Index/checkUsername | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-07-23T10:31:09+08:00 ] /QA/index.php/Index/checkUsername | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2016-07-23T10:31:09+08:00 ] /QA/index.php/Index/checkUsername | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.014001s ]
[ 2016-07-23T10:31:09+08:00 ] /QA/index.php/Index/checkUsername | SQL: SELECT `id` FROM `wl_index_user` WHERE ( `username` = '锦鹏' ) LIMIT 1   [ RunTime:0.000000s ]
[ 2016-07-23T12:07:13+08:00 ] /QA/index.php/Index/login | INFO: Tag[ route_check ] --START--
[ 2016-07-23T12:07:13+08:00 ] /QA/index.php/Index/login | INFO: Run CheckRoute Behavior [ RunTime:0.005000s ]
[ 2016-07-23T12:07:13+08:00 ] /QA/index.php/Index/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.005000s ]
[ 2016-07-23T12:07:13+08:00 ] /QA/index.php/Index/login | INFO: Tag[ app_begin ] --START--
[ 2016-07-23T12:07:13+08:00 ] /QA/index.php/Index/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003001s ]
[ 2016-07-23T12:07:13+08:00 ] /QA/index.php/Index/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003001s ]
[ 2016-07-23T12:07:13+08:00 ] /QA/index.php/Index/login | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.022001s ]
[ 2016-07-23T12:07:13+08:00 ] /QA/index.php/Index/login | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2016-07-23T12:07:13+08:00 ] /QA/index.php/Index/login | SQL: SELECT id,pwd,username FROM `wl_index_user` WHERE ( `username` = '丸子' ) LIMIT 1   [ RunTime:0.001000s ]
[ 2016-07-23T12:07:13+08:00 ] /QA/index.php/Index/login | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2016-07-23T12:07:13+08:00 ] /QA/index.php/Index/login | INFO: Tag[ view_template ] --START--
[ 2016-07-23T12:07:13+08:00 ] /QA/index.php/Index/login | INFO: Run LocationTemplate Behavior [ RunTime:0.024001s ]
[ 2016-07-23T12:07:13+08:00 ] /QA/index.php/Index/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.024001s ]
[ 2016-07-23T12:07:13+08:00 ] /QA/index.php/Index/login | INFO: Tag[ view_parse ] --START--
[ 2016-07-23T12:07:13+08:00 ] /QA/index.php/Index/login | INFO: Run ParseTemplate Behavior [ RunTime:0.028002s ]
[ 2016-07-23T12:07:13+08:00 ] /QA/index.php/Index/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.028002s ]
[ 2016-07-23T12:07:13+08:00 ] /QA/index.php/Index/login | INFO: Tag[ view_filter ] --START--
[ 2016-07-23T12:07:13+08:00 ] /QA/index.php/Index/login | INFO: Run ContentReplace Behavior [ RunTime:0.002000s ]
[ 2016-07-23T12:07:13+08:00 ] /QA/index.php/Index/login | INFO: Run TokenBuild Behavior [ RunTime:0.002000s ]
[ 2016-07-23T12:07:13+08:00 ] /QA/index.php/Index/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.004000s ]
[ 2016-07-23T12:07:13+08:00 ] /QA/index.php/Index/login | INFO: Run ShowRuntime Behavior [ RunTime:0.003001s ]
[ 2016-07-23T12:07:13+08:00 ] /QA/index.php/Index/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.012001s ]
[ 2016-07-23T12:07:13+08:00 ] /QA/index.php/Index/login | INFO: Tag[ view_end ] --START--
[ 2016-07-23T12:07:13+08:00 ] /QA/index.php/Index/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.004000s ]
[ 2016-07-23T12:07:13+08:00 ] /QA/index.php/Index/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.004000s ]
[ 2016-07-23T12:07:15+08:00 ] /QA/index.php/Index/index/index | INFO: Tag[ route_check ] --START--
[ 2016-07-23T12:07:15+08:00 ] /QA/index.php/Index/index/index | INFO: Run CheckRoute Behavior [ RunTime:0.003000s ]
[ 2016-07-23T12:07:15+08:00 ] /QA/index.php/Index/index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.003000s ]
[ 2016-07-23T12:07:15+08:00 ] /QA/index.php/Index/index/index | INFO: Tag[ app_begin ] --START--
[ 2016-07-23T12:07:15+08:00 ] /QA/index.php/Index/index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-07-23T12:07:15+08:00 ] /QA/index.php/Index/index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003000s ]
[ 2016-07-23T12:07:15+08:00 ] /QA/index.php/Index/index/index | SQL: SHOW COLUMNS FROM `wl_category` [ RunTime:0.018001s ]
[ 2016-07-23T12:07:15+08:00 ] /QA/index.php/Index/index/index | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = 0 )  [ RunTime:0.001000s ]
[ 2016-07-23T12:07:15+08:00 ] /QA/index.php/Index/index/index | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '1' )  [ RunTime:0.001000s ]
[ 2016-07-23T12:07:15+08:00 ] /QA/index.php/Index/index/index | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '2' )  [ RunTime:0.001000s ]
