[ 2016-06-23T00:01:15+08:00 ] /QA/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.037002s ]
[ 2016-06-23T00:01:15+08:00 ] /QA/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.037002s ]
[ 2016-06-23T00:01:15+08:00 ] /QA/index.php | INFO: Tag[ view_filter ] --START--
[ 2016-06-23T00:01:15+08:00 ] /QA/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.002000s ]
[ 2016-06-23T00:01:15+08:00 ] /QA/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-06-23T00:01:15+08:00 ] /QA/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-06-23T00:01:15+08:00 ] /QA/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001001s ]
[ 2016-06-23T00:01:15+08:00 ] /QA/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006001s ]
[ 2016-06-23T00:01:15+08:00 ] /QA/index.php | INFO: Tag[ view_end ] --START--
[ 2016-06-23T00:01:15+08:00 ] /QA/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.002000s ]
[ 2016-06-23T00:01:15+08:00 ] /QA/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.002000s ]
[ 2016-06-23T00:01:27+08:00 ] /QA/index.php | INFO: Tag[ app_begin ] --START--
[ 2016-06-23T00:01:27+08:00 ] /QA/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-06-23T00:01:27+08:00 ] /QA/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003000s ]
[ 2016-06-23T00:01:28+08:00 ] /QA/index.php | SQL: SHOW COLUMNS FROM `wl_category` [ RunTime:0.009001s ]
[ 2016-06-23T00:01:28+08:00 ] /QA/index.php | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = 0 )  [ RunTime:0.001000s ]
[ 2016-06-23T00:01:28+08:00 ] /QA/index.php | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '1' )  [ RunTime:0.001000s ]
[ 2016-06-23T00:01:28+08:00 ] /QA/index.php | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '2' )  [ RunTime:0.000000s ]
[ 2016-06-23T00:01:28+08:00 ] /QA/index.php | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '3' )  [ RunTime:0.002000s ]
