[ 2017-03-16T13:01:19+08:00 ] /QA/ | INFO: Tag[ app_begin ] --START--
[ 2017-03-16T13:01:19+08:00 ] /QA/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002258s ]
[ 2017-03-16T13:01:19+08:00 ] /QA/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003764s ]
[ 2017-03-16T13:01:19+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_category` [ RunTime:0.018123s ]
[ 2017-03-16T13:01:19+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = 0 )  [ RunTime:0.002116s ]
[ 2017-03-16T13:01:19+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '1' )  [ RunTime:0.001196s ]
[ 2017-03-16T13:01:19+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '2' )  [ RunTime:0.000646s ]
[ 2017-03-16T13:01:19+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '3' )  [ RunTime:0.000616s ]
[ 2017-03-16T13:01:19+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '4' )  [ RunTime:0.000504s ]
[ 2017-03-16T13:01:19+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '5' )  [ RunTime:0.000437s ]
[ 2017-03-16T13:01:19+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.010015s ]
[ 2017-03-16T13:01:19+08:00 ] /QA/ | SQL: SELECT * FROM `wl_question` WHERE ( `solve` = 0 ) ORDER BY ask_time DESC LIMIT 5   [ RunTime:0.002011s ]
[ 2017-03-16T13:01:19+08:00 ] /QA/ | SQL: SELECT * FROM `wl_question` WHERE ( `solve` = 1 ) LIMIT 5   [ RunTime:0.000447s ]
[ 2017-03-16T13:01:19+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.009532s ]
[ 2017-03-16T13:01:19+08:00 ] /QA/ | NOTIC: [8] Undefined index: uid IndexAction.class.php 第 23 行.
[ 2017-03-16T13:01:19+08:00 ] /QA/ | SQL: SELECT `experience`,`money` FROM `wl_index_user` WHERE ( `id` = null ) LIMIT 1   [ RunTime:0.000904s ]
[ 2017-03-16T13:01:19+08:00 ] /QA/ | SQL: SELECT * FROM `wl_index_user` ORDER BY adopt DESC LIMIT 10   [ RunTime:0.000562s ]
[ 2017-03-16T13:01:19+08:00 ] /QA/ | INFO: Tag[ view_template ] --START--
[ 2017-03-16T13:01:19+08:00 ] /QA/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002573s ]
[ 2017-03-16T13:01:19+08:00 ] /QA/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002655s ]
[ 2017-03-16T13:01:19+08:00 ] /QA/ | INFO: Tag[ view_parse ] --START--
[ 2017-03-16T13:01:19+08:00 ] /QA/ | INFO: Run ParseTemplate Behavior [ RunTime:0.036840s ]
[ 2017-03-16T13:01:19+08:00 ] /QA/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.036912s ]
[ 2017-03-16T13:01:19+08:00 ] /QA/ | INFO: Tag[ view_filter ] --START--
[ 2017-03-16T13:01:19+08:00 ] /QA/ | INFO: Run ContentReplace Behavior [ RunTime:0.001570s ]
[ 2017-03-16T13:01:19+08:00 ] /QA/ | INFO: Run TokenBuild Behavior [ RunTime:0.001483s ]
[ 2017-03-16T13:01:19+08:00 ] /QA/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001056s ]
[ 2017-03-16T13:01:19+08:00 ] /QA/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001261s ]
[ 2017-03-16T13:01:19+08:00 ] /QA/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005559s ]
[ 2017-03-16T13:01:19+08:00 ] /QA/ | INFO: Tag[ view_end ] --START--
[ 2017-03-16T13:01:19+08:00 ] /QA/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.002330s ]
[ 2017-03-16T13:01:19+08:00 ] /QA/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.002443s ]
[ 2017-03-16T13:01:37+08:00 ] /QA/index.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2017-03-16T13:01:37+08:00 ] /QA/index.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.002386s ]
[ 2017-03-16T13:01:37+08:00 ] /QA/index.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002541s ]
[ 2017-03-16T13:01:37+08:00 ] /QA/index.php/Index/index | INFO: Tag[ app_begin ] --START--
