[ 2016-07-01T12:48:22+08:00 ] /QA/ | INFO: Tag[ app_begin ] --START--
[ 2016-07-01T12:48:22+08:00 ] /QA/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-07-01T12:48:22+08:00 ] /QA/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-07-01T12:48:23+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_category` [ RunTime:0.021001s ]
[ 2016-07-01T12:48:23+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = 0 )  [ RunTime:0.002000s ]
[ 2016-07-01T12:48:23+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '1' )  [ RunTime:0.001000s ]
[ 2016-07-01T12:48:23+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '2' )  [ RunTime:0.001000s ]
[ 2016-07-01T12:48:23+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '3' )  [ RunTime:0.001000s ]
[ 2016-07-01T12:48:23+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '4' )  [ RunTime:0.001000s ]
[ 2016-07-01T12:48:23+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '5' )  [ RunTime:0.000000s ]
[ 2016-07-01T12:48:24+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.025002s ]
[ 2016-07-01T12:48:24+08:00 ] /QA/ | SQL: SELECT * FROM `wl_question` WHERE ( `solve` = 0 ) LIMIT 15   [ RunTime:0.000000s ]
[ 2016-07-01T12:48:24+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.027001s ]
[ 2016-07-01T12:48:24+08:00 ] /QA/ | SQL: SELECT * FROM `wl_index_user` ORDER BY adopt LIMIT 10   [ RunTime:0.001000s ]
[ 2016-07-01T12:48:24+08:00 ] /QA/ | INFO: Tag[ view_template ] --START--
[ 2016-07-01T12:48:24+08:00 ] /QA/ | INFO: Run LocationTemplate Behavior [ RunTime:0.003000s ]
[ 2016-07-01T12:48:24+08:00 ] /QA/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.003000s ]
[ 2016-07-01T12:48:24+08:00 ] /QA/ | INFO: Tag[ view_parse ] --START--
[ 2016-07-01T12:48:24+08:00 ] /QA/ | INFO: Run ParseTemplate Behavior [ RunTime:0.042002s ]
[ 2016-07-01T12:48:24+08:00 ] /QA/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.042002s ]
[ 2016-07-01T12:48:24+08:00 ] /QA/ | INFO: Tag[ view_filter ] --START--
[ 2016-07-01T12:48:24+08:00 ] /QA/ | INFO: Run ContentReplace Behavior [ RunTime:0.002000s ]
[ 2016-07-01T12:48:24+08:00 ] /QA/ | INFO: Run TokenBuild Behavior [ RunTime:0.002000s ]
[ 2016-07-01T12:48:24+08:00 ] /QA/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002001s ]
[ 2016-07-01T12:48:24+08:00 ] /QA/ | INFO: Run ShowRuntime Behavior [ RunTime:0.002000s ]
[ 2016-07-01T12:48:24+08:00 ] /QA/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.010001s ]
[ 2016-07-01T12:48:24+08:00 ] /QA/ | INFO: Tag[ view_end ] --START--
[ 2016-07-01T12:48:24+08:00 ] /QA/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.002000s ]
[ 2016-07-01T12:48:24+08:00 ] /QA/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.002000s ]
[ 2016-07-01T22:37:26+08:00 ] /QA/ | INFO: Tag[ app_begin ] --START--
[ 2016-07-01T22:37:26+08:00 ] /QA/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.055003s ]
[ 2016-07-01T22:37:26+08:00 ] /QA/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.088005s ]
[ 2016-07-01T22:37:30+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_category` [ RunTime:0.571032s ]
[ 2016-07-01T22:37:30+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = 0 )  [ RunTime:0.107006s ]
[ 2016-07-01T22:37:30+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '1' )  [ RunTime:0.000000s ]
[ 2016-07-01T22:37:30+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '2' )  [ RunTime:0.001000s ]
[ 2016-07-01T22:37:30+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '3' )  [ RunTime:0.001000s ]
[ 2016-07-01T22:37:30+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '4' )  [ RunTime:0.001000s ]
[ 2016-07-01T22:37:30+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '5' )  [ RunTime:0.001000s ]
[ 2016-07-01T22:37:30+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.114007s ]
[ 2016-07-01T22:37:30+08:00 ] /QA/ | SQL: SELECT * FROM `wl_question` WHERE ( `solve` = 0 ) LIMIT 15   [ RunTime:0.301017s ]
[ 2016-07-01T22:37:30+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.060004s ]
[ 2016-07-01T22:37:31+08:00 ] /QA/ | SQL: SELECT * FROM `wl_index_user` ORDER BY adopt LIMIT 10   [ RunTime:0.265015s ]
[ 2016-07-01T22:37:31+08:00 ] /QA/ | INFO: Tag[ view_template ] --START--
[ 2016-07-01T22:37:31+08:00 ] /QA/ | INFO: Run LocationTemplate Behavior [ RunTime:0.037002s ]
[ 2016-07-01T22:37:31+08:00 ] /QA/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.038002s ]
[ 2016-07-01T22:37:31+08:00 ] /QA/ | INFO: Tag[ view_parse ] --START--
[ 2016-07-01T22:37:31+08:00 ] /QA/ | INFO: Run ParseTemplate Behavior [ RunTime:0.189011s ]
[ 2016-07-01T22:37:31+08:00 ] /QA/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.189011s ]
[ 2016-07-01T22:37:31+08:00 ] /QA/ | INFO: Tag[ view_filter ] --START--
[ 2016-07-01T22:37:31+08:00 ] /QA/ | INFO: Run ContentReplace Behavior [ RunTime:0.010000s ]
[ 2016-07-01T22:37:31+08:00 ] /QA/ | INFO: Run TokenBuild Behavior [ RunTime:0.059004s ]
