[ 2016-08-01T13:51:40+08:00 ] /QA/ | INFO: Tag[ app_begin ] --START--
[ 2016-08-01T13:51:40+08:00 ] /QA/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.050003s ]
[ 2016-08-01T13:51:40+08:00 ] /QA/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.079005s ]
[ 2016-08-01T13:51:41+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_category` [ RunTime:0.015001s ]
[ 2016-08-01T13:51:41+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = 0 )  [ RunTime:0.000000s ]
[ 2016-08-01T13:51:41+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '1' )  [ RunTime:0.001000s ]
[ 2016-08-01T13:51:41+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '2' )  [ RunTime:0.001000s ]
[ 2016-08-01T13:51:41+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '3' )  [ RunTime:0.001000s ]
[ 2016-08-01T13:51:41+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '4' )  [ RunTime:0.000000s ]
[ 2016-08-01T13:51:41+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '5' )  [ RunTime:0.000000s ]
[ 2016-08-01T13:51:41+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.017001s ]
[ 2016-08-01T13:51:41+08:00 ] /QA/ | SQL: SELECT * FROM `wl_question` WHERE ( `solve` = 0 ) LIMIT 5   [ RunTime:0.001000s ]
[ 2016-08-01T13:51:41+08:00 ] /QA/ | SQL: SELECT * FROM `wl_question` WHERE ( `solve` = 1 ) LIMIT 5   [ RunTime:0.001000s ]
[ 2016-08-01T13:51:41+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.016001s ]
[ 2016-08-01T13:51:41+08:00 ] /QA/ | SQL: SELECT * FROM `wl_index_user` ORDER BY adopt LIMIT 10   [ RunTime:0.000000s ]
[ 2016-08-01T13:51:41+08:00 ] /QA/ | INFO: Tag[ view_template ] --START--
[ 2016-08-01T13:51:41+08:00 ] /QA/ | INFO: Run LocationTemplate Behavior [ RunTime:0.025002s ]
[ 2016-08-01T13:51:41+08:00 ] /QA/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.026002s ]
[ 2016-08-01T13:51:41+08:00 ] /QA/ | INFO: Tag[ view_parse ] --START--
[ 2016-08-01T13:51:41+08:00 ] /QA/ | INFO: Run ParseTemplate Behavior [ RunTime:0.303017s ]
[ 2016-08-01T13:51:41+08:00 ] /QA/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.303017s ]
[ 2016-08-01T13:51:41+08:00 ] /QA/ | INFO: Tag[ view_filter ] --START--
[ 2016-08-01T13:51:41+08:00 ] /QA/ | INFO: Run ContentReplace Behavior [ RunTime:0.059004s ]
[ 2016-08-01T13:51:41+08:00 ] /QA/ | INFO: Run TokenBuild Behavior [ RunTime:0.006000s ]
