[ 2016-07-18T14:01:45+08:00 ] /QA/ | INFO: Tag[ app_begin ] --START--
[ 2016-07-18T14:01:45+08:00 ] /QA/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.034002s ]
[ 2016-07-18T14:01:45+08:00 ] /QA/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.077004s ]
[ 2016-07-18T14:01:46+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_category` [ RunTime:0.105006s ]
[ 2016-07-18T14:01:46+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = 0 )  [ RunTime:0.035002s ]
[ 2016-07-18T14:01:46+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '1' )  [ RunTime:0.001000s ]
[ 2016-07-18T14:01:46+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '2' )  [ RunTime:0.001000s ]
[ 2016-07-18T14:01:46+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '3' )  [ RunTime:0.001000s ]
[ 2016-07-18T14:01:46+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '4' )  [ RunTime:0.000000s ]
[ 2016-07-18T14:01:46+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '5' )  [ RunTime:0.000000s ]
[ 2016-07-18T14:01:46+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.051003s ]
[ 2016-07-18T14:01:46+08:00 ] /QA/ | SQL: SELECT * FROM `wl_question` WHERE ( `solve` = 0 ) LIMIT 5   [ RunTime:0.001000s ]
[ 2016-07-18T14:01:46+08:00 ] /QA/ | SQL: SELECT * FROM `wl_question` WHERE ( `solve` = 1 ) LIMIT 5   [ RunTime:0.000000s ]
[ 2016-07-18T14:01:46+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.051002s ]
[ 2016-07-18T14:01:46+08:00 ] /QA/ | SQL: SELECT * FROM `wl_index_user` ORDER BY adopt LIMIT 10   [ RunTime:0.012001s ]
[ 2016-07-18T14:01:46+08:00 ] /QA/ | INFO: Tag[ view_template ] --START--
[ 2016-07-18T14:01:46+08:00 ] /QA/ | INFO: Run LocationTemplate Behavior [ RunTime:0.032002s ]
[ 2016-07-18T14:01:46+08:00 ] /QA/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.032002s ]
[ 2016-07-18T14:01:46+08:00 ] /QA/ | INFO: Tag[ view_parse ] --START--
[ 2016-07-18T14:01:46+08:00 ] /QA/ | INFO: Run ParseTemplate Behavior [ RunTime:0.247014s ]
[ 2016-07-18T14:01:46+08:00 ] /QA/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.247014s ]
[ 2016-07-18T14:01:46+08:00 ] /QA/ | INFO: Tag[ view_filter ] --START--
[ 2016-07-18T14:01:46+08:00 ] /QA/ | INFO: Run ContentReplace Behavior [ RunTime:0.028002s ]
[ 2016-07-18T14:01:46+08:00 ] /QA/ | INFO: Run TokenBuild Behavior [ RunTime:0.003000s ]
[ 2016-07-18T14:01:46+08:00 ] /QA/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.003000s ]
[ 2016-07-18T14:01:46+08:00 ] /QA/ | INFO: Run ShowRuntime Behavior [ RunTime:0.003000s ]
[ 2016-07-18T14:01:46+08:00 ] /QA/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.038002s ]
[ 2016-07-18T14:01:46+08:00 ] /QA/ | INFO: Tag[ view_end ] --START--
[ 2016-07-18T14:01:46+08:00 ] /QA/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.026002s ]
[ 2016-07-18T14:01:46+08:00 ] /QA/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.026002s ]
