[ 2016-07-07T23:37:24+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant ask - assumed 'ask' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T23:37:24+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant solve - assumed 'solve' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T23:37:24+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Undefined index: qid f354fc626e6f7e38fd97a443b43fbcf1.php 第 99 行.
[ 2016-07-07T23:37:24+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant ask - assumed 'ask' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T23:37:24+08:00 ] /QA/index.php/show/index/id/15 | NOTIC: [8] Use of undefined constant solve - assumed 'solve' f354fc626e6f7e38fd97a443b43fbcf1.php 第 100 行.
[ 2016-07-07T23:37:24+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run ParseTemplate Behavior [ RunTime:0.028002s ]
[ 2016-07-07T23:37:24+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.028002s ]
[ 2016-07-07T23:37:24+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ view_filter ] --START--
[ 2016-07-07T23:37:24+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2016-07-07T23:37:24+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-07-07T23:37:24+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-07-07T23:37:24+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-07-07T23:37:24+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004000s ]
[ 2016-07-07T23:37:24+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ view_end ] --START--
[ 2016-07-07T23:37:24+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2016-07-07T23:37:24+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2016-07-07T23:37:30+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ route_check ] --START--
[ 2016-07-07T23:37:30+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2016-07-07T23:37:30+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ route_check ] --END-- [ RunTime:0.003000s ]
[ 2016-07-07T23:37:30+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ app_begin ] --START--
[ 2016-07-07T23:37:30+08:00 ] /QA/index.php/show/index/id/15 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-07-07T23:37:30+08:00 ] /QA/index.php/show/index/id/15 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-07-07T23:37:31+08:00 ] /QA/index.php/show/index/id/15 | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.013001s ]
[ 2016-07-07T23:37:31+08:00 ] /QA/index.php/show/index/id/15 | SQL: SHOW COLUMNS FROM `wl_index_user` [ RunTime:0.013001s ]
