[ 2016-06-20T17:36:18+08:00 ] /QA/ | INFO: Tag[ app_begin ] --START--
[ 2016-06-20T17:36:18+08:00 ] /QA/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.046003s ]
[ 2016-06-20T17:36:18+08:00 ] /QA/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.368021s ]
[ 2016-06-20T17:36:20+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_category` [ RunTime:0.110007s ]
[ 2016-06-20T17:36:20+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = 0 )  [ RunTime:0.023001s ]
[ 2016-06-20T17:36:20+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '1' )  [ RunTime:0.001000s ]
[ 2016-06-20T17:36:20+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '2' )  [ RunTime:0.000000s ]
[ 2016-06-20T17:36:20+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '3' )  [ RunTime:0.000000s ]
[ 2016-06-20T17:36:20+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '4' )  [ RunTime:0.001000s ]
[ 2016-06-20T17:36:20+08:00 ] /QA/ | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = '5' )  [ RunTime:0.001000s ]
[ 2016-06-20T17:36:20+08:00 ] /QA/ | SQL: SHOW COLUMNS FROM `wl_question` [ RunTime:0.063004s ]
[ 2016-06-20T17:36:20+08:00 ] /QA/ | SQL: SELECT * FROM `wl_question` WHERE ( `solve` = 0 ) LIMIT 15   [ RunTime:0.001000s ]
[ 2016-06-20T17:36:20+08:00 ] /QA/ | INFO: Tag[ view_template ] --START--
[ 2016-06-20T17:36:20+08:00 ] /QA/ | INFO: Run LocationTemplate Behavior [ RunTime:0.017001s ]
[ 2016-06-20T17:36:20+08:00 ] /QA/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.017001s ]
[ 2016-06-20T17:36:20+08:00 ] /QA/ | INFO: Tag[ view_parse ] --START--
[ 2016-06-20T17:36:21+08:00 ] /QA/ | INFO: Run ParseTemplate Behavior [ RunTime:0.100006s ]
[ 2016-06-20T17:36:21+08:00 ] /QA/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.100006s ]
[ 2016-06-20T17:36:21+08:00 ] /QA/ | INFO: Tag[ view_filter ] --START--
[ 2016-06-20T17:36:21+08:00 ] /QA/ | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2016-06-20T17:36:21+08:00 ] /QA/ | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-06-20T17:36:21+08:00 ] /QA/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-06-20T17:36:21+08:00 ] /QA/ | INFO: Run ShowRuntime Behavior [ RunTime:0.002000s ]
[ 2016-06-20T17:36:21+08:00 ] /QA/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006000s ]
[ 2016-06-20T17:36:21+08:00 ] /QA/ | INFO: Tag[ view_end ] --START--
[ 2016-06-20T17:36:21+08:00 ] /QA/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.018001s ]
[ 2016-06-20T17:36:21+08:00 ] /QA/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.018001s ]
[ 2016-06-20T17:36:25+08:00 ] /QA/index.php/ask/index | INFO: Tag[ route_check ] --START--
[ 2016-06-20T17:36:25+08:00 ] /QA/index.php/ask/index | INFO: Run CheckRoute Behavior [ RunTime:0.025001s ]
[ 2016-06-20T17:36:25+08:00 ] /QA/index.php/ask/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.025001s ]
[ 2016-06-20T17:36:25+08:00 ] /QA/index.php/ask/index | INFO: Tag[ app_begin ] --START--
[ 2016-06-20T17:36:25+08:00 ] /QA/index.php/ask/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002001s ]
[ 2016-06-20T17:36:25+08:00 ] /QA/index.php/ask/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002001s ]
[ 2016-06-20T17:36:25+08:00 ] /QA/index.php/ask/index | INFO: Tag[ view_template ] --START--
[ 2016-06-20T17:36:25+08:00 ] /QA/index.php/ask/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2016-06-20T17:36:25+08:00 ] /QA/index.php/ask/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2016-06-20T17:36:25+08:00 ] /QA/index.php/ask/index | INFO: Tag[ view_parse ] --START--
[ 2016-06-20T17:36:25+08:00 ] /QA/index.php/ask/index | NOTIC: [8] Undefined variable: cate acdcbb7a063e957637887788aa46c9ab.php 第 196 行.
[ 2016-06-20T17:36:25+08:00 ] /QA/index.php/ask/index | INFO: Run ParseTemplate Behavior [ RunTime:0.034002s ]
[ 2016-06-20T17:36:25+08:00 ] /QA/index.php/ask/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.034002s ]
[ 2016-06-20T17:36:25+08:00 ] /QA/index.php/ask/index | INFO: Tag[ view_filter ] --START--
