[ 2016-08-21T16:31:50+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2016-08-21T16:31:50+08:00 ] /QA/admin.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.003000s ]
[ 2016-08-21T16:31:50+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.003000s ]
[ 2016-08-21T16:31:50+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2016-08-21T16:31:50+08:00 ] /QA/admin.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-08-21T16:31:50+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-08-21T16:31:50+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2016-08-21T16:31:50+08:00 ] /QA/admin.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.005000s ]
[ 2016-08-21T16:31:50+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.005000s ]
[ 2016-08-21T16:31:50+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2016-08-21T16:31:50+08:00 ] /QA/admin.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.025001s ]
[ 2016-08-21T16:31:50+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.025001s ]
[ 2016-08-21T16:31:50+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2016-08-21T16:31:50+08:00 ] /QA/admin.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.002001s ]
[ 2016-08-21T16:31:50+08:00 ] /QA/admin.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.002000s ]
[ 2016-08-21T16:31:50+08:00 ] /QA/admin.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-08-21T16:31:50+08:00 ] /QA/admin.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.002000s ]
[ 2016-08-21T16:31:50+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.008001s ]
[ 2016-08-21T16:31:50+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2016-08-21T16:31:50+08:00 ] /QA/admin.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.003000s ]
[ 2016-08-21T16:31:50+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.003000s ]
[ 2016-08-21T16:31:50+08:00 ] /QA/admin.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2016-08-21T16:31:50+08:00 ] /QA/admin.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.004000s ]
[ 2016-08-21T16:31:50+08:00 ] /QA/admin.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.004000s ]
[ 2016-08-21T16:31:50+08:00 ] /QA/admin.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2016-08-21T16:31:50+08:00 ] /QA/admin.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-08-21T16:31:50+08:00 ] /QA/admin.php/Login/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-08-21T16:32:48+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2016-08-21T16:32:48+08:00 ] /QA/admin.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.003000s ]
[ 2016-08-21T16:32:48+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.003000s ]
[ 2016-08-21T16:32:48+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2016-08-21T16:32:48+08:00 ] /QA/admin.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-08-21T16:32:48+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-08-21T16:32:48+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2016-08-21T16:32:48+08:00 ] /QA/admin.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.005001s ]
[ 2016-08-21T16:32:48+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.005001s ]
[ 2016-08-21T16:32:48+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2016-08-21T16:32:48+08:00 ] /QA/admin.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.018001s ]
[ 2016-08-21T16:32:48+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.018001s ]
[ 2016-08-21T16:32:48+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2016-08-21T16:32:48+08:00 ] /QA/admin.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.002000s ]
[ 2016-08-21T16:32:48+08:00 ] /QA/admin.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2016-08-21T16:32:48+08:00 ] /QA/admin.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-08-21T16:32:48+08:00 ] /QA/admin.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.002000s ]
[ 2016-08-21T16:32:48+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006000s ]
[ 2016-08-21T16:32:48+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2016-08-21T16:32:48+08:00 ] /QA/admin.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.002000s ]
[ 2016-08-21T16:32:48+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.002000s ]
[ 2016-08-21T16:32:49+08:00 ] /QA/admin.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2016-08-21T16:32:49+08:00 ] /QA/admin.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-08-21T16:32:49+08:00 ] /QA/admin.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-08-21T16:32:49+08:00 ] /QA/admin.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2016-08-21T16:32:49+08:00 ] /QA/admin.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003001s ]
[ 2016-08-21T16:32:49+08:00 ] /QA/admin.php/Login/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003001s ]
[ 2016-08-21T16:33:02+08:00 ] /QA/admin.php/Login/verify/0.9593843175381431 | INFO: Tag[ route_check ] --START--
[ 2016-08-21T16:33:02+08:00 ] /QA/admin.php/Login/verify/0.9593843175381431 | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-08-21T16:33:02+08:00 ] /QA/admin.php/Login/verify/0.9593843175381431 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-08-21T16:33:02+08:00 ] /QA/admin.php/Login/verify/0.9593843175381431 | INFO: Tag[ app_begin ] --START--
[ 2016-08-21T16:33:02+08:00 ] /QA/admin.php/Login/verify/0.9593843175381431 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-08-21T16:33:02+08:00 ] /QA/admin.php/Login/verify/0.9593843175381431 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-08-21T16:33:03+08:00 ] /QA/admin.php/Login/verify/0.2018545149439661 | INFO: Tag[ route_check ] --START--
[ 2016-08-21T16:33:03+08:00 ] /QA/admin.php/Login/verify/0.2018545149439661 | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-08-21T16:33:03+08:00 ] /QA/admin.php/Login/verify/0.2018545149439661 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-08-21T16:33:03+08:00 ] /QA/admin.php/Login/verify/0.2018545149439661 | INFO: Tag[ app_begin ] --START--
[ 2016-08-21T16:33:03+08:00 ] /QA/admin.php/Login/verify/0.2018545149439661 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-08-21T16:33:03+08:00 ] /QA/admin.php/Login/verify/0.2018545149439661 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-08-21T16:33:03+08:00 ] /QA/admin.php/Login/verify/0.13353552492965215 | INFO: Tag[ route_check ] --START--
[ 2016-08-21T16:33:03+08:00 ] /QA/admin.php/Login/verify/0.13353552492965215 | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-08-21T16:33:03+08:00 ] /QA/admin.php/Login/verify/0.13353552492965215 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-08-21T16:33:03+08:00 ] /QA/admin.php/Login/verify/0.13353552492965215 | INFO: Tag[ app_begin ] --START--
[ 2016-08-21T16:33:03+08:00 ] /QA/admin.php/Login/verify/0.13353552492965215 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-08-21T16:33:03+08:00 ] /QA/admin.php/Login/verify/0.13353552492965215 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-08-21T16:33:03+08:00 ] /QA/admin.php/Login/verify/0.7883235394388204 | INFO: Tag[ route_check ] --START--
[ 2016-08-21T16:33:03+08:00 ] /QA/admin.php/Login/verify/0.7883235394388204 | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2016-08-21T16:33:03+08:00 ] /QA/admin.php/Login/verify/0.7883235394388204 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2016-08-21T16:33:03+08:00 ] /QA/admin.php/Login/verify/0.7883235394388204 | INFO: Tag[ app_begin ] --START--
[ 2016-08-21T16:33:03+08:00 ] /QA/admin.php/Login/verify/0.7883235394388204 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-08-21T16:33:03+08:00 ] /QA/admin.php/Login/verify/0.7883235394388204 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-08-21T16:33:03+08:00 ] /QA/admin.php/Login/verify/0.8526749044390844 | INFO: Tag[ route_check ] --START--
[ 2016-08-21T16:33:03+08:00 ] /QA/admin.php/Login/verify/0.8526749044390844 | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-08-21T16:33:03+08:00 ] /QA/admin.php/Login/verify/0.8526749044390844 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-08-21T16:33:03+08:00 ] /QA/admin.php/Login/verify/0.8526749044390844 | INFO: Tag[ app_begin ] --START--
[ 2016-08-21T16:33:03+08:00 ] /QA/admin.php/Login/verify/0.8526749044390844 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-08-21T16:33:03+08:00 ] /QA/admin.php/Login/verify/0.8526749044390844 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-08-21T16:33:04+08:00 ] /QA/admin.php/Login/verify/0.09521843227155746 | INFO: Tag[ route_check ] --START--
[ 2016-08-21T16:33:04+08:00 ] /QA/admin.php/Login/verify/0.09521843227155746 | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-08-21T16:33:04+08:00 ] /QA/admin.php/Login/verify/0.09521843227155746 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-08-21T16:33:04+08:00 ] /QA/admin.php/Login/verify/0.09521843227155746 | INFO: Tag[ app_begin ] --START--
[ 2016-08-21T16:33:04+08:00 ] /QA/admin.php/Login/verify/0.09521843227155746 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003001s ]
[ 2016-08-21T16:33:04+08:00 ] /QA/admin.php/Login/verify/0.09521843227155746 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003001s ]
[ 2016-08-21T16:33:04+08:00 ] /QA/admin.php/Login/verify/0.6705481598529595 | INFO: Tag[ route_check ] --START--
[ 2016-08-21T16:33:04+08:00 ] /QA/admin.php/Login/verify/0.6705481598529595 | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-08-21T16:33:04+08:00 ] /QA/admin.php/Login/verify/0.6705481598529595 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-08-21T16:33:04+08:00 ] /QA/admin.php/Login/verify/0.6705481598529595 | INFO: Tag[ app_begin ] --START--
[ 2016-08-21T16:33:04+08:00 ] /QA/admin.php/Login/verify/0.6705481598529595 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001001s ]
[ 2016-08-21T16:33:04+08:00 ] /QA/admin.php/Login/verify/0.6705481598529595 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001001s ]
[ 2016-08-21T16:33:05+08:00 ] /QA/admin.php/Login/verify/0.9379728232579667 | INFO: Tag[ route_check ] --START--
[ 2016-08-21T16:33:05+08:00 ] /QA/admin.php/Login/verify/0.9379728232579667 | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-08-21T16:33:05+08:00 ] /QA/admin.php/Login/verify/0.9379728232579667 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-08-21T16:33:05+08:00 ] /QA/admin.php/Login/verify/0.9379728232579667 | INFO: Tag[ app_begin ] --START--
[ 2016-08-21T16:33:05+08:00 ] /QA/admin.php/Login/verify/0.9379728232579667 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-08-21T16:33:05+08:00 ] /QA/admin.php/Login/verify/0.9379728232579667 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-08-21T16:33:05+08:00 ] /QA/admin.php/Login/verify/0.6214443769900277 | INFO: Tag[ route_check ] --START--
[ 2016-08-21T16:33:05+08:00 ] /QA/admin.php/Login/verify/0.6214443769900277 | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-08-21T16:33:05+08:00 ] /QA/admin.php/Login/verify/0.6214443769900277 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-08-21T16:33:05+08:00 ] /QA/admin.php/Login/verify/0.6214443769900277 | INFO: Tag[ app_begin ] --START--
[ 2016-08-21T16:33:05+08:00 ] /QA/admin.php/Login/verify/0.6214443769900277 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-08-21T16:33:05+08:00 ] /QA/admin.php/Login/verify/0.6214443769900277 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-08-21T16:33:06+08:00 ] /QA/admin.php/Login/verify/0.3745201170035868 | INFO: Tag[ route_check ] --START--
[ 2016-08-21T16:33:06+08:00 ] /QA/admin.php/Login/verify/0.3745201170035868 | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2016-08-21T16:33:06+08:00 ] /QA/admin.php/Login/verify/0.3745201170035868 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-08-21T16:33:06+08:00 ] /QA/admin.php/Login/verify/0.3745201170035868 | INFO: Tag[ app_begin ] --START--
[ 2016-08-21T16:33:06+08:00 ] /QA/admin.php/Login/verify/0.3745201170035868 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-08-21T16:33:06+08:00 ] /QA/admin.php/Login/verify/0.3745201170035868 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-08-21T16:33:06+08:00 ] /QA/admin.php/Login/verify/0.9746136761692379 | INFO: Tag[ route_check ] --START--
[ 2016-08-21T16:33:06+08:00 ] /QA/admin.php/Login/verify/0.9746136761692379 | INFO: Run CheckRoute Behavior [ RunTime:0.002001s ]
[ 2016-08-21T16:33:06+08:00 ] /QA/admin.php/Login/verify/0.9746136761692379 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002001s ]
[ 2016-08-21T16:33:06+08:00 ] /QA/admin.php/Login/verify/0.9746136761692379 | INFO: Tag[ app_begin ] --START--
[ 2016-08-21T16:33:06+08:00 ] /QA/admin.php/Login/verify/0.9746136761692379 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-08-21T16:33:06+08:00 ] /QA/admin.php/Login/verify/0.9746136761692379 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-08-21T16:33:06+08:00 ] /QA/admin.php/Login/verify/0.0910914033820891 | INFO: Tag[ route_check ] --START--
[ 2016-08-21T16:33:06+08:00 ] /QA/admin.php/Login/verify/0.0910914033820891 | INFO: Run CheckRoute Behavior [ RunTime:0.002001s ]
[ 2016-08-21T16:33:06+08:00 ] /QA/admin.php/Login/verify/0.0910914033820891 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002001s ]
[ 2016-08-21T16:33:06+08:00 ] /QA/admin.php/Login/verify/0.0910914033820891 | INFO: Tag[ app_begin ] --START--
[ 2016-08-21T16:33:06+08:00 ] /QA/admin.php/Login/verify/0.0910914033820891 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-08-21T16:33:06+08:00 ] /QA/admin.php/Login/verify/0.0910914033820891 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2016-08-21T16:33:06+08:00 ] /QA/admin.php/Login/verify/0.25503875558919664 | INFO: Tag[ route_check ] --START--
[ 2016-08-21T16:33:06+08:00 ] /QA/admin.php/Login/verify/0.25503875558919664 | INFO: Run CheckRoute Behavior [ RunTime:0.002001s ]
[ 2016-08-21T16:33:06+08:00 ] /QA/admin.php/Login/verify/0.25503875558919664 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002001s ]
[ 2016-08-21T16:33:06+08:00 ] /QA/admin.php/Login/verify/0.25503875558919664 | INFO: Tag[ app_begin ] --START--
[ 2016-08-21T16:33:06+08:00 ] /QA/admin.php/Login/verify/0.25503875558919664 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-08-21T16:33:06+08:00 ] /QA/admin.php/Login/verify/0.25503875558919664 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
