[ 2017-03-15T23:49:40+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2017-03-15T23:49:40+08:00 ] /QA/admin.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.001415s ]
[ 2017-03-15T23:49:40+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001512s ]
[ 2017-03-15T23:49:40+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2017-03-15T23:49:40+08:00 ] /QA/admin.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000967s ]
[ 2017-03-15T23:49:40+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001026s ]
[ 2017-03-15T23:49:40+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2017-03-15T23:49:40+08:00 ] /QA/admin.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001675s ]
[ 2017-03-15T23:49:40+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001751s ]
[ 2017-03-15T23:49:40+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2017-03-15T23:49:40+08:00 ] /QA/admin.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.013921s ]
[ 2017-03-15T23:49:40+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013996s ]
[ 2017-03-15T23:49:40+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2017-03-15T23:49:40+08:00 ] /QA/admin.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000941s ]
[ 2017-03-15T23:49:40+08:00 ] /QA/admin.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.001008s ]
[ 2017-03-15T23:49:40+08:00 ] /QA/admin.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001568s ]
[ 2017-03-15T23:49:40+08:00 ] /QA/admin.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001036s ]
[ 2017-03-15T23:49:40+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004966s ]
[ 2017-03-15T23:49:40+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2017-03-15T23:49:40+08:00 ] /QA/admin.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000985s ]
[ 2017-03-15T23:49:40+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001042s ]
[ 2017-03-15T23:49:40+08:00 ] /QA/admin.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2017-03-15T23:49:40+08:00 ] /QA/admin.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001705s ]
[ 2017-03-15T23:49:40+08:00 ] /QA/admin.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001824s ]
[ 2017-03-15T23:49:40+08:00 ] /QA/admin.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2017-03-15T23:49:40+08:00 ] /QA/admin.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001483s ]
[ 2017-03-15T23:49:40+08:00 ] /QA/admin.php/Login/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001579s ]
[ 2017-03-15T23:50:16+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2017-03-15T23:50:16+08:00 ] /QA/admin.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.001376s ]
[ 2017-03-15T23:50:16+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001464s ]
[ 2017-03-15T23:50:16+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2017-03-15T23:50:16+08:00 ] /QA/admin.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001140s ]
[ 2017-03-15T23:50:16+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001201s ]
[ 2017-03-15T23:50:16+08:00 ] /QA/admin.php/Index/index | SQL: SHOW COLUMNS FROM `wl_category` [ RunTime:0.008685s ]
[ 2017-03-15T23:50:16+08:00 ] /QA/admin.php/Index/index | SQL: SELECT * FROM `wl_category` LIMIT 1   [ RunTime:0.000431s ]
[ 2017-03-15T23:50:16+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2017-03-15T23:50:16+08:00 ] /QA/admin.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001851s ]
[ 2017-03-15T23:50:16+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001916s ]
[ 2017-03-15T23:50:16+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2017-03-15T23:50:16+08:00 ] /QA/admin.php/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.013402s ]
[ 2017-03-15T23:50:16+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013479s ]
[ 2017-03-15T23:50:16+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_filter ] --START--
[ 2017-03-15T23:50:16+08:00 ] /QA/admin.php/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.000927s ]
[ 2017-03-15T23:50:16+08:00 ] /QA/admin.php/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.001135s ]
[ 2017-03-15T23:50:16+08:00 ] /QA/admin.php/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000944s ]
[ 2017-03-15T23:50:16+08:00 ] /QA/admin.php/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001038s ]
[ 2017-03-15T23:50:16+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004233s ]
[ 2017-03-15T23:50:16+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_end ] --START--
[ 2017-03-15T23:50:16+08:00 ] /QA/admin.php/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001002s ]
[ 2017-03-15T23:50:16+08:00 ] /QA/admin.php/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001055s ]
[ 2017-03-15T23:50:18+08:00 ] /QA/admin.php/Category/index | INFO: Tag[ route_check ] --START--
[ 2017-03-15T23:50:18+08:00 ] /QA/admin.php/Category/index | INFO: Run CheckRoute Behavior [ RunTime:0.001289s ]
[ 2017-03-15T23:50:18+08:00 ] /QA/admin.php/Category/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001387s ]
[ 2017-03-15T23:50:18+08:00 ] /QA/admin.php/Category/index | INFO: Tag[ app_begin ] --START--
[ 2017-03-15T23:50:18+08:00 ] /QA/admin.php/Category/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000975s ]
[ 2017-03-15T23:50:18+08:00 ] /QA/admin.php/Category/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001035s ]
[ 2017-03-15T23:50:18+08:00 ] /QA/admin.php/Category/index | SQL: SHOW COLUMNS FROM `wl_category` [ RunTime:0.007493s ]
[ 2017-03-15T23:50:18+08:00 ] /QA/admin.php/Category/index | SQL: SELECT * FROM `wl_category`  [ RunTime:0.000608s ]
[ 2017-03-15T23:50:18+08:00 ] /QA/admin.php/Category/index | INFO: Tag[ view_template ] --START--
[ 2017-03-15T23:50:18+08:00 ] /QA/admin.php/Category/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001536s ]
[ 2017-03-15T23:50:18+08:00 ] /QA/admin.php/Category/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001600s ]
[ 2017-03-15T23:50:18+08:00 ] /QA/admin.php/Category/index | INFO: Tag[ view_parse ] --START--
[ 2017-03-15T23:50:18+08:00 ] /QA/admin.php/Category/index | INFO: Run ParseTemplate Behavior [ RunTime:0.016447s ]
[ 2017-03-15T23:50:18+08:00 ] /QA/admin.php/Category/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016540s ]
[ 2017-03-15T23:50:18+08:00 ] /QA/admin.php/Category/index | INFO: Tag[ view_filter ] --START--
[ 2017-03-15T23:50:18+08:00 ] /QA/admin.php/Category/index | INFO: Run ContentReplace Behavior [ RunTime:0.001048s ]
[ 2017-03-15T23:50:18+08:00 ] /QA/admin.php/Category/index | INFO: Run TokenBuild Behavior [ RunTime:0.000754s ]
[ 2017-03-15T23:50:18+08:00 ] /QA/admin.php/Category/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000679s ]
[ 2017-03-15T23:50:18+08:00 ] /QA/admin.php/Category/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000865s ]
[ 2017-03-15T23:50:18+08:00 ] /QA/admin.php/Category/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003515s ]
[ 2017-03-15T23:50:18+08:00 ] /QA/admin.php/Category/index | INFO: Tag[ view_end ] --START--
[ 2017-03-15T23:50:18+08:00 ] /QA/admin.php/Category/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001086s ]
[ 2017-03-15T23:50:18+08:00 ] /QA/admin.php/Category/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001166s ]
[ 2017-03-15T23:50:20+08:00 ] /QA/admin.php/Category/addTop | INFO: Tag[ route_check ] --START--
[ 2017-03-15T23:50:20+08:00 ] /QA/admin.php/Category/addTop | INFO: Run CheckRoute Behavior [ RunTime:0.001261s ]
[ 2017-03-15T23:50:20+08:00 ] /QA/admin.php/Category/addTop | INFO: Tag[ route_check ] --END-- [ RunTime:0.001343s ]
[ 2017-03-15T23:50:20+08:00 ] /QA/admin.php/Category/addTop | INFO: Tag[ app_begin ] --START--
[ 2017-03-15T23:50:20+08:00 ] /QA/admin.php/Category/addTop | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000985s ]
[ 2017-03-15T23:50:20+08:00 ] /QA/admin.php/Category/addTop | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001043s ]
[ 2017-03-15T23:50:20+08:00 ] /QA/admin.php/Category/addTop | INFO: Tag[ view_template ] --START--
[ 2017-03-15T23:50:20+08:00 ] /QA/admin.php/Category/addTop | INFO: Run LocationTemplate Behavior [ RunTime:0.000924s ]
[ 2017-03-15T23:50:20+08:00 ] /QA/admin.php/Category/addTop | INFO: Tag[ view_template ] --END-- [ RunTime:0.000990s ]
[ 2017-03-15T23:50:20+08:00 ] /QA/admin.php/Category/addTop | INFO: Tag[ view_parse ] --START--
[ 2017-03-15T23:50:20+08:00 ] /QA/admin.php/Category/addTop | INFO: Run ParseTemplate Behavior [ RunTime:0.011210s ]
[ 2017-03-15T23:50:20+08:00 ] /QA/admin.php/Category/addTop | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011319s ]
[ 2017-03-15T23:50:20+08:00 ] /QA/admin.php/Category/addTop | INFO: Tag[ view_filter ] --START--
[ 2017-03-15T23:50:20+08:00 ] /QA/admin.php/Category/addTop | INFO: Run ContentReplace Behavior [ RunTime:0.000854s ]
[ 2017-03-15T23:50:20+08:00 ] /QA/admin.php/Category/addTop | INFO: Run TokenBuild Behavior [ RunTime:0.000769s ]
[ 2017-03-15T23:50:20+08:00 ] /QA/admin.php/Category/addTop | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000813s ]
[ 2017-03-15T23:50:20+08:00 ] /QA/admin.php/Category/addTop | INFO: Run ShowRuntime Behavior [ RunTime:0.001099s ]
[ 2017-03-15T23:50:20+08:00 ] /QA/admin.php/Category/addTop | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003743s ]
[ 2017-03-15T23:50:20+08:00 ] /QA/admin.php/Category/addTop | INFO: Tag[ view_end ] --START--
[ 2017-03-15T23:50:20+08:00 ] /QA/admin.php/Category/addTop | INFO: Run ShowPageTrace Behavior [ RunTime:0.000882s ]
[ 2017-03-15T23:50:20+08:00 ] /QA/admin.php/Category/addTop | INFO: Tag[ view_end ] --END-- [ RunTime:0.000935s ]
[ 2017-03-15T23:50:21+08:00 ] /QA/admin.php/Reward/index | INFO: Tag[ route_check ] --START--
[ 2017-03-15T23:50:21+08:00 ] /QA/admin.php/Reward/index | INFO: Run CheckRoute Behavior [ RunTime:0.001297s ]
[ 2017-03-15T23:50:21+08:00 ] /QA/admin.php/Reward/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001385s ]
[ 2017-03-15T23:50:21+08:00 ] /QA/admin.php/Reward/index | INFO: Tag[ app_begin ] --START--
[ 2017-03-15T23:50:21+08:00 ] /QA/admin.php/Reward/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000933s ]
[ 2017-03-15T23:50:21+08:00 ] /QA/admin.php/Reward/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000991s ]
