[ 2017-03-16T13:14:08+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2017-03-16T13:14:08+08:00 ] /QA/admin.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.001894s ]
[ 2017-03-16T13:14:08+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002015s ]
[ 2017-03-16T13:14:08+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2017-03-16T13:14:08+08:00 ] /QA/admin.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000992s ]
[ 2017-03-16T13:14:08+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001105s ]
[ 2017-03-16T13:14:08+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2017-03-16T13:14:08+08:00 ] /QA/admin.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.002130s ]
[ 2017-03-16T13:14:08+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002215s ]
[ 2017-03-16T13:14:08+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2017-03-16T13:14:08+08:00 ] /QA/admin.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.014779s ]
[ 2017-03-16T13:14:08+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014884s ]
[ 2017-03-16T13:14:08+08:00 ] /QA/admin.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2017-03-16T13:14:08+08:00 ] /QA/admin.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.001408s ]
[ 2017-03-16T13:14:08+08:00 ] /QA/admin.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.001427s ]
[ 2017-03-16T13:14:08+08:00 ] /QA/admin.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000812s ]
[ 2017-03-16T13:14:08+08:00 ] /QA/admin.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001214s ]
